ems_id,monitoring_location,location_type,location_purpose,lat,lon,n_samples_catalogue,n_results_catalogue,first_sample,last_sample
E216161,EQUITY PIEZOMETER RH-82-06 #1 DAM SEEPAGE,38,2,54.195506,-126.267968,92,1054,1982-03-10,1994-12-13
E216160,EQUITY PIEZOMETER RH-82-05 LOWER BESSEMER CK,38,2,54.1771,-126.2883,53,655,1982-10-24,1994-12-13
E216153,EQUITY PIEZOMETER RH-82-01 LU CK DIVERSION,38,2,54.1903,-126.284,55,550,1982-10-24,1993-10-19
E228921,MR-8856 KNOCKHOLT LANDFILL WELL BH-4,38,2,54.4419,-126.525,7,546,1997-10-30,2006-10-19
0700164,GOLDCORP EQUITY SILVER MINE (PE04475) PIEZOMETER RH-82-03,38,2,54.10454,-126.1782,31,444,1982-10-25,1992-06-24
E228917,MR-8856 KNOCKHOLT LANDFILL WELL BH-1,38,2,54.4389,-126.5272,6,416,1997-10-30,2006-11-19
E228920,MR-8856 KNOCKHOLT LANDFILL WELL BH-3,38,2,54.4414,-126.5306,5,330,1997-10-30,2006-10-19
E228918,MR-8856 KNOCKHOLT LANDFILL WELL BH-2A,38,2,54.440311,-126.526111,4,248,1997-10-30,2004-10-13
E228919,MR-8856 KNOCKHOLT LANDFILL WELL BH-2B,38,2,54.440311,-126.526111,4,245,1997-10-30,2006-11-19
E216154,EQUITY PIEZOMETER RH-82-02 W. SIDE WASTE DUMP,38,2,54.1888,-126.2875,23,226,1983-07-20,1994-09-26
0700148,EQUITY WEST PIEZOMETER BEKIW SEEPAGE POND,38,2,54.2122,-126.2594,2,95,1982-11-01,1983-02-08
0700147,EQUITY EAST PIEZOMETER BELOW SEEPAGE POND,38,2,54.2122,-126.2583,2,94,1982-11-01,1983-02-08
E235012,VANNER BYMAN WELL,38,2,54.5169,-126.4437,2,85,1998-11-30,1998-11-30
E235013,TIM BYMAN WELL,38,2,54.5205,-126.4437,2,85,1998-11-30,1998-11-30
E216162,EQUITY PIEZOMETER RH-82-08 NORTH SIDE M.Z.PIT,38,2,54.1942,-126.2637,0,0,NA,NA
E216163,EQUITY WELL SOUTH END OF S.T. PIT,38,2,54.1809,-126.2696,0,0,NA,NA
E285374,GOLDCORP EQUITY MINE (PE-04475) PIESOMETER RH90-11,38,2,54.11172,-126.1768,0,0,NA,NA
E285375,GOLDCORP EQUITY MINE (PE-04475) PIESOMETER RH90-12,38,2,54.11154,-126.17105,0,0,NA,NA
E285376,GOLDCORP EQUITY MINE (PE-04475) PIESOMETER RH90-13,38,2,54.11128,-126.17137,0,0,NA,NA
E285377,GOLDCORP EQUITY MINE (PE04475) PIESOMETER RH90-14,38,2,54.1173,-126.17142,0,0,NA,NA
E285378,GOLDCORP EQUITY MINE (PE-04475) PIESOMETER RH90-15,38,2,54.1058,-126.17163,0,0,NA,NA
E285379,GOLDCORP EQUITY PERMIT (PE04475) PIESOMETER RH90-16,38,2,54.1058,-126.17163,0,0,NA,NA
E285380,GOLDCORP EQUITY PERMIT (PE-04475) PIESOMETER RH90-20,38,2,54.10557,-126.17119,0,0,NA,NA
E307327,165-GW (ALLIN CREEK),38,8,54.1332,-126.157,0,0,NA,NA
E250954,EQUITY MINE,44,7,54.2231,-126.3106,0,0,NA,NA
E251102,TACHEK CREEK,44,7,54.6383,-126.2969,0,0,NA,NA
E251203,LU LAKE,44,7,54.2025,-126.2964,0,0,NA,NA
E278909,OBS WELL 386 - HOUSTON,45,8,54.400036,-126.655455,11,713,2010-03-16,2019-08-23
