ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2020-10-26,2020,10,Nitrogen - Nitrite Dissolved (NO2),no2,0.0067,mg/L,0.005,NA,FALSE,54.12127,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2020-08-31,2020,8,Nitrate (NO3) Dissolved,no3,0.466,mg/L,0.025,NA,FALSE,54.12127,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2021-04-26,2021,4,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0774,mg/L,NA,<,TRUE,54.12127,-126.16326
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2021-04-26,2021,4,Phosphorus Total Dissolved,tdp,6,mg/L,6,<,TRUE,54.10468,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2021-05-10,2021,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2021-07-05,2021,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2022-02-28,2022,2,Phosphorus Total,tp,0.25,mg/L,0.25,<,TRUE,54.10468,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2022-08-10,2022,8,Phosphorus Total Dissolved,tdp,0.0247,mg/L,0.002,NA,FALSE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2023-03-27,2023,3,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2024-12-19,2024,12,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.11585,-126.16313
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2024-12-16,2024,12,Phosphorus Total,tp,1,mg/L,1,<,TRUE,54.10468,-126.16326
E285382,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND DISCHARGE,2024-04-22,2024,4,Phosphorus Total,tp,0.055,mg/L,0.05,NA,FALSE,54.11576,-126.1701
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2024-11-26,2024,11,Nitrogen - Nitrite Dissolved (NO2),no2,0.02,mg/L,0.02,<,TRUE,54.11585,-126.16313
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2024-11-26,2024,11,Phosphorus Total,tp,1,mg/L,1,<,TRUE,54.10468,-126.16326
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1987-07-23,1987,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.1769,-126.3597
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1985-10-21,1985,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,8.6,mg/L,NA,NA,FALSE,54.1619,-126.2922
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1990-05-14,1990,5,Phosphorus Ort.Dis-P,srp,0.003,mg/L,NA,<,TRUE,54.1769,-126.3597
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1997-09-09,1997,9,Phosphorus Ort.Dis-P,srp,0.9,mg/L,NA,NA,FALSE,54.395,-126.67
E228919,MR-8856 KNOCKHOLT LANDFILL WELL BH-2B,1997-10-30,1997,10,Phosphorus Total,tp,80,mg/L,NA,NA,FALSE,54.440311,-126.526111
0400297,BULKLEY RIVER U/S HOUSTON STP,1996-06-12,1996,6,Phosphorus Total,tp,0.113,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1996-10-16,1996,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.019,mg/L,NA,NA,FALSE,54.3936,-126.6725
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-10-28,1998,10,Phosphorus Ort.Dis-P,srp,0.6,mg/L,NA,NA,FALSE,54.395,-126.67
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1998-08-11,1998,8,Nitrate (NO3) Dissolved,no3,0.01,mg/L,NA,NA,FALSE,54.3936,-126.6725
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-12-15,1999,12,Nitrogen Ammonia Dissolved,nh3,27.9,mg/L,NA,NA,FALSE,54.395,-126.67
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2000-02-16,2000,2,Nitrogen Ammonia Dissolved,nh3,0.23,mg/L,NA,NA,FALSE,54.3936,-126.6725
E279349,ROSE LAKE,2010-04-29,2010,4,Phosphorus Ort.Dis-P,srp,0.006,mg/L,0.001,NA,FALSE,54.39907,-126.02047
E294173,WQ E4 (47.5 PARROT FSR),2013-11-21,2013,11,Nitrogen Kjel.Tot(N),tkn,0.298,mg/L,0.02,NA,FALSE,54.142522,-126.268519
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2012-09-18,2012,9,Nitrate (NO3) Dissolved,no3,0.16,mg/L,0.002,NA,FALSE,54.3936,-126.6725
E294174,WQ E5 (ALLEN CR),2013-09-26,2013,9,Nitrate (NO3) Dissolved,no3,0.0096,mg/L,0.002,NA,FALSE,54.1333,-126.157254
E294170,WQ E1 (GOOSLY LAKE TRIB),2014-04-30,2014,4,Phosphorus Total,tp,0.0474,mg/L,0.002,NA,FALSE,54.167388,-126.351261
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2012-08-29,2012,8,Phosphorus Total,tp,0.212,mg/L,0.002,NA,FALSE,54.395,-126.67
E294173,WQ E4 (47.5 PARROT FSR),2014-05-14,2014,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.002,mg/L,0.002,<,TRUE,54.142522,-126.268519
E294171,WQ E2 (PARROT FSR),2013-09-26,2013,9,Nitrogen Total,tn,0.203,mg/L,0.02,NA,FALSE,54.158524,-126.313944
E294171,WQ E2 (PARROT FSR),2014-04-30,2014,4,Nitrate (NO3) Dissolved,no3,0.0067,mg/L,0.002,NA,FALSE,54.158524,-126.313944
E294171,WQ E2 (PARROT FSR),2015-10-22,2015,10,Nitrogen Ammonia Dissolved,nh3,0.012,mg/L,0.005,NA,FALSE,54.158524,-126.313944
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2016-05-16,2016,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
E294172,WQ E3 (GOOSLY N FSR),2015-10-22,2015,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.002,mg/L,0.002,<,TRUE,54.158409,-126.312419
E285382,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND DISCHARGE,2016-05-09,2016,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.11576,-126.1701
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2018-04-23,2018,4,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2018-04-16,2018,4,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2018-06-11,2018,6,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,2018-05-14,2018,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.2117,-126.2878
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,2018-10-15,2018,10,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.2153,-126.24
E278909,OBS WELL 386 - HOUSTON,2017-08-16,2017,8,Nitrogen - Nitrite Dissolved (NO2),no2,0.001,mg/L,0.001,<,TRUE,54.400036,-126.655455
E278909,OBS WELL 386 - HOUSTON,2017-08-16,2017,8,Phosphorus Total Dissolved,tdp,0.023,mg/L,0.01,NA,FALSE,54.400036,-126.655455
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2020-09-28,2020,9,Phosphorus Total,tp,1,mg/L,1,<,TRUE,54.10468,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2021-09-27,2021,9,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.12127,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2021-10-25,2021,10,Phosphorus Total,tp,0.05,mg/L,0.05,<,TRUE,54.1556,-126.3069
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1984-08-02,1984,8,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,25,mg/L,NA,NA,FALSE,54.1619,-126.2922
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-06-17,1987,6,Phosphorus Total Dissolved,tdp,0.02,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400297,BULKLEY RIVER U/S HOUSTON STP,1986-08-11,1986,8,Phosphorus Ort.Dis-P,srp,0.004,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400297,BULKLEY RIVER U/S HOUSTON STP,1987-08-31,1987,8,Nitrogen Ammonia Dissolved,nh3,0.008,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1986-09-15,1986,9,Phosphorus Total Dissolved,tdp,0.028,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1992-08-04,1992,8,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.3936,-126.6725
